Identifier,Title,Start date,End date,Number of deaths,Year,Month,State,Region,BanditScore,TravelRiskScore,RouteAlert
IBD031681,"Food Poisoning, Imo",2025-04-18,2025-04-18,1,2024,1,Imo,South East,0,0,Safe
IBD032064,"Gunmen Kill Man, Benue",2025-03-31,2025-03-31,1,2024,1,Benue,North Central,1,5,Caution
IBD032058,"Auto Crash, Lagos",2025-03-31,2025-03-31,1,2024,1,Lagos,South West,0,0,Safe
IBD032066,"Stray Bullets, Sokoto",2025-03-31,2025-03-31,1,2024,1,Sokoto,North West,0,0,Safe
IBD032062,"Lightening Kills Herder, Kaduna",2025-03-30,2025-03-30,1,2024,1,Kaduna,North West,0,0,Safe
IBD032049,"Auto Crash, Katsina",2025-03-30,2025-03-30,9,2024,1,Katsina,North West,0,3,Safe
IBD032065,"Sallah Day Celebration Clash, Plateau",2025-03-30,2025-03-30,4,2024,1,Plateau,North Central,0,3,Safe
IBD032054,"Auto Crash, Abia",2025-03-30,2025-03-30,1,2024,1,Abia,South East,0,0,Safe
IBD032048,"Gas Explosion, Delta",2025-03-30,2025-03-30,2,2024,1,Delta,South South,0,0,Safe
IBD032061,"Auto Crash, Ogun",2025-03-30,2025-03-30,1,2024,1,Ogun,South West,0,0,Safe
IBD032052,"Stampede, Gombe",2025-03-30,2025-03-30,2,2024,1,Gombe,North East,0,0,Safe
IBD032063,"Fishing Activities, Kogi",2025-03-30,2025-03-30,2,2024,1,Kogi,North Central,0,0,Safe
IBD032057,"Herdsmen Kill Graduate, FCT (Abuja)",2025-03-29,2025-03-29,1,2024,1,FCT,North Central,1,5,Caution
IBD032060,"Labourer Kills Employer, Ondo",2025-03-29,2025-03-29,1,2024,1,Ondo,South West,0,0,Safe
IBD032050,"Auto Crash, Lagos",2025-03-29,2025-03-29,1,2024,1,Lagos,South West,0,0,Safe
IBD032059,"Extrajudicial Killing, Delta",2025-03-29,2025-03-29,1,2024,1,Delta,South South,0,0,Safe
IBD032046,"Security Forces vs Shiites Members, FCT (Abuja)",2025-03-28,2025-03-28,6,2024,1,FCT,North Central,0,3,Safe
IBD032056,"Pirates vs Fashion Designer, Rivers (Offshore)",2025-03-28,2025-03-28,1,2024,1,Rivers,South South,0,0,Safe
IBD032042,"Gas Explosion, Abia",2025-03-27,2025-03-27,2,2024,1,Abia,South East,0,0,Safe
IBD032051,"Gunmen Attack, Plateau",2025-03-27,2025-03-27,52,2024,1,Plateau,North Central,2,10,Avoid Route
IBD032028,"Auto Crash, Kano",2025-03-26,2025-03-26,2,2024,1,Kano,North West,0,0,Safe
IBD032027,"Lakurawa vs Customs Officers, Kebbi",2025-03-26,2025-03-26,2,2024,1,Kebbi,North West,0,0,Safe
IBD032045,"Domestic Violence, Sokoto",2025-03-26,2025-03-26,1,2024,1,Sokoto,North West,0,0,Safe
IBD032037,"Domestic Violence, Edo",2025-03-26,2025-03-26,1,2024,1,Edo,South South,0,0,Safe
IBD032033,"Taskforce Raid, FCT (Abuja)",2025-03-26,2025-03-26,2,2024,1,FCT,North Central,0,0,Safe
IBD032032,"Chieftaincy Tussle, Ondo",2025-03-26,2025-03-26,1,2024,1,Ondo,South West,0,0,Safe
IBD032039,"Domestic Violence, Lagos",2025-03-26,2025-03-26,1,2024,1,Lagos,South West,0,0,Safe
IBD032044,"Domestic Violence, Ekiti",2025-03-25,2025-03-25,2,2024,1,Ekiti,South West,0,0,Safe
IBD032030,"Rainstorm, Cross River",2025-03-25,2025-03-25,3,2024,1,Cross River,South South,0,3,Safe
IBD032025,"Auto Crash, Abia",2025-03-25,2025-03-25,2,2024,1,Abia,South East,0,0,Safe
IBD032034,"Gunmen vs Land Agent, Delta",2025-03-25,2025-03-25,1,2024,1,Delta,South South,1,5,Caution
IBD032041,"Pipeline Vandal, Rivers",2025-03-25,2025-03-25,1,2024,1,Rivers,South South,0,0,Safe
IBD032020,"Troops vs Armed Robber, Plateau",2025-03-24,2025-03-24,1,2024,1,Plateau,North Central,0,0,Safe
IBD032019,"Troops Kill Bandit, Plateau",2025-03-24,2025-03-24,1,2024,1,Plateau,North Central,1,5,Caution
IBD032014,"Kidnapper, Anambra",2025-03-24,2025-03-24,1,2024,1,Anambra,South East,1,5,Caution
IBD032026,"Ritual Killing, Rivers",2025-03-24,2025-03-24,2,2024,1,Rivers,South South,0,0,Safe
IBD032017,"Army vs Boko Haram, Borno",2025-03-24,2025-03-24,8,2024,1,Borno,North East,0,3,Safe
IBD032009,"Jailbreak, Kogi",2025-03-24,2025-03-24,1,2024,1,Kogi,North Central,0,0,Safe
IBD032055,"Auto Crash, Lagos",2025-03-24,2025-03-24,1,2024,1,Lagos,South West,0,0,Safe
IBD032012,"Gunmen vs Police, Enugu",2025-03-24,2025-03-24,1,2024,1,Enugu,South East,1,5,Caution
IBD032016,"Army vs Boko Haram, Borno",2025-03-24,2025-03-24,3,2024,1,Borno,North East,0,3,Safe
IBD031984,"Extrajudicial Killing, Cross River",2025-03-23,2025-03-23,2,2024,1,Cross River,South South,0,0,Safe
IBD032006,"Assailants vs Motorcycle Rider, Bauchi",2025-03-23,2025-03-23,1,2024,1,Bauchi,North East,0,0,Safe
IBD032018,"Hunter Killed, Ogun",2025-03-23,2025-03-23,1,2024,1,Ogun,South West,0,0,Safe
IBD032007,"Gunmen Attack, Plateau",2025-03-23,2025-03-23,3,2024,1,Plateau,North Central,2,8,Avoid Route
IBD032008,"Auto Crash, Osun",2025-03-23,2025-03-23,8,2024,1,Osun,South West,0,3,Safe
IBD032010,"Bandits Kill 2, Kogi",2025-03-23,2025-03-23,2,2024,1,Kogi,North Central,1,5,Caution
IBD031983,"Bandits Attack, Sokoto",2025-03-22,2025-03-22,1,2024,1,Sokoto,North West,2,5,Caution
IBD031989,"Bandits vs Security Operatives, Zamfara",2025-03-22,2025-03-22,10,2024,1,Zamfara,North West,1,10,Avoid Route
IBD031985,"Kidnappers Kill 1, Benue",2025-03-22,2025-03-22,1,2024,1,Benue,North Central,1,5,Caution
IBD032035,"Kidnap Victims, Kaduna",2025-03-22,2025-03-22,3,2024,1,Kaduna,North West,1,8,Avoid Route
IBD031987,"Herdsmen Attack, Edo",2025-03-22,2025-03-22,1,2024,1,Edo,South South,2,5,Caution
IBD031995,"Herders Kill Farmer, FCT (Abuja)",2025-03-22,2025-03-22,1,2024,1,FCT,North Central,0,0,Safe
IBD031990,"Assailants vs Security Man, Bauchi",2025-03-22,2025-03-22,1,2024,1,Bauchi,North East,0,0,Safe
IBD032011,"POS Operator, Adamawa",2025-03-22,2025-03-22,1,2024,1,Adamawa,North East,0,0,Safe
IBD032021,"Generator Fume Kill 2, Rivers",2025-03-22,2025-03-22,2,2024,1,Rivers,South South,0,0,Safe
IBD031992,"Communal Clash, Osun",2025-03-21,2025-03-21,2,2024,1,Osun,South West,0,0,Safe
IBD031996,"Hoodlums vs Worshippers, Kaduna",2025-03-21,2025-03-21,1,2024,1,Kaduna,North West,0,0,Safe
IBD032040,"Man Dies in Hotel, Delta",2025-03-21,2025-03-21,1,2024,1,Delta,South South,0,0,Safe
IBD032038,"Domestic Violence, Edo",2025-03-21,2025-03-21,1,2024,1,Edo,South South,0,0,Safe
IBD032031,Police vs Kidnappers. Delta,2025-03-21,2025-03-21,5,2024,1,Delta,South South,1,8,Avoid Route
IBD031986,"Gunmen Attack, Anambra",2025-03-20,2025-03-20,3,2024,1,Anambra,South East,2,8,Avoid Route
IBD032004,"Security Force vs Lakurawa, Kebbi",2025-03-20,2025-03-20,2,2024,1,Kebbi,North West,0,0,Safe
IBD032047,"Northern Hunters, Edo",2025-03-20,2025-03-20,16,2024,1,Edo,South South,0,5,Caution
IBD031981,"Miyetti Allah Chairman, Plateau",2025-03-20,2025-03-20,1,2024,1,Plateau,North Central,0,0,Safe
IBD032013,"Kidnap Victim, Bauchi",2025-03-20,2025-03-20,1,2024,1,Bauchi,North East,1,5,Caution
IBD031980,"Herdsmen Attack, Benue",2025-03-19,2025-03-19,5,2024,1,Benue,North Central,2,8,Avoid Route
IBD031982,"Rape Victim, Delta",2025-03-19,2025-03-19,1,2024,1,Delta,South South,0,0,Safe
IBD032002,"Inferno, Yobe",2025-03-19,2025-03-19,1,2024,1,Yobe,North East,0,0,Safe
IBD031994,"Banditary, Katsina",2025-03-19,2025-03-19,10,2024,1,Katsina,North West,1,10,Avoid Route
IBD031971,"Domestic Violence, Lagos",2025-03-19,2025-03-19,1,2024,1,Lagos,South West,0,0,Safe
IBD031979,"Assailants vs Security Guard, Ebonyi",2025-03-19,2025-03-19,1,2024,1,Ebonyi,South East,0,0,Safe
IBD031972,"Explosion/Auto Crash, FCT (Abuja)",2025-03-19,2025-03-19,10,2024,1,FCT,North Central,0,5,Caution
IBD031975,"Herders vs Farmers, Ondo",2025-03-19,2025-03-19,10,2024,1,Ondo,South West,0,5,Caution
IBD031970,"Auto Crash, Rivers",2025-03-18,2025-03-18,1,2024,1,Rivers,South South,0,0,Safe
IBD031993,"NAF vs Boko Haram, Borno",2025-03-18,2025-03-18,25,2024,1,Borno,North East,0,5,Caution
IBD031978,"Rainstorm Kill 1, Ogun",2025-03-18,2025-03-18,1,2024,1,Ogun,South West,0,0,Safe
IBD031974,"Army vs Terrorist, Zamfara",2025-03-18,2025-03-18,7,2024,1,Zamfara,North West,1,8,Avoid Route
IBD031977,Police vs Gunmen Benue,2025-03-18,2025-03-19,12,2024,1,Benue,North Central,1,10,Avoid Route
IBD031969,"Communal Clash, Ebonyi",2025-03-17,2025-03-17,2,2024,1,Ebonyi,South East,0,0,Safe
IBD031973,"Army vs Terrorist, Katsina",2025-03-17,2025-03-17,3,2024,1,Katsina,North West,1,8,Avoid Route
IBD031991,"NAF vs Boko Haram, Borno",2025-03-17,2025-03-17,10,2024,1,Borno,North East,0,5,Caution
IBD031988,"Lawyer vs Student, Imo",2025-03-17,2025-03-17,1,2024,1,Imo,South East,0,0,Safe
IBD032003,"Electrocution, Lagos",2025-03-17,2025-03-17,1,2024,1,Lagos,South West,0,0,Safe
IBD031976,"Herdsmen Attack, Benue",2025-03-17,2025-03-17,2,2024,1,Benue,North Central,2,5,Caution
IBD032036,"NAF vs Terrorists, Borno",2025-03-16,2025-03-16,40,2024,1,Borno,North East,1,10,Avoid Route
IBD032005,"Explosion, Rivers",2025-03-16,2025-03-16,1,2024,1,Rivers,South South,0,0,Safe
IBD031955,"Auto Crash, Imo",2025-03-16,2025-03-16,7,2024,1,Imo,South East,0,3,Safe
IBD031997,"Boy Suffocates, Lagos",2025-03-16,2025-03-16,1,2024,1,Lagos,South West,0,0,Safe
IBD032015,"Domestic Violence, Edo",2025-03-16,2025-03-16,2,2024,1,Edo,South South,0,0,Safe
IBD031952,"Armed Robbers vs Watchman, Katsina",2025-03-16,2025-03-16,1,2024,1,Katsina,North West,0,0,Safe
IBD032023,"Auto Crash, Kaduna",2025-03-16,2025-03-16,2,2024,1,Kaduna,North West,0,0,Safe
IBD031959,"Gunmen vs Fulani Leader, Kwara",2025-03-16,2025-03-16,1,2024,1,Kwara,North Central,1,5,Caution
IBD015011,"Mob Attack, Lagos",2025-03-15,2025-03-15,1,2024,1,Lagos,South West,1,5,Caution
IBD031949,"Auto Crash, Anambra",2025-03-15,2025-03-15,6,2024,1,Anambra,South East,0,3,Safe
IBD031958,"Assailants vs Bride, Jigawa",2025-03-15,2025-03-15,1,2024,1,Jigawa,North West,0,0,Safe
IBD031950,"Army vs Bandits, Katsina",2025-03-15,2025-03-15,12,2024,1,Katsina,North West,1,10,Avoid Route
IBD031953,"Army vs Bandits, Katsina",2025-03-15,2025-03-15,12,2024,1,Katsina,North West,1,10,Avoid Route
IBD032022,"Mob vs Armed Robber, Lagos",2025-03-15,2025-03-15,1,2024,1,Lagos,South West,0,0,Safe
IBD031942,"Communal Clash, Cross River",2025-03-15,2025-03-15,2,2024,1,Cross River,South South,0,0,Safe
IBD031965,"Cult Clash, Ogun",2025-03-15,2025-03-15,4,2024,1,Ogun,South West,0,3,Safe
IBD031945,"Police vs Kidnappers, Abia",2025-03-14,2025-03-14,6,2024,1,Abia,South East,1,8,Avoid Route
IBD031967,"Gunmen vs Herders, Enugu",2025-03-14,2025-03-14,5,2024,1,Enugu,South East,1,8,Avoid Route
IBD031946,"Police vs Kidnapper, Nasarawa",2025-03-14,2025-03-14,1,2024,1,Nasarawa,North Central,1,5,Caution
IBD031948,"Drowns, Rivers",2025-03-14,2025-03-14,1,2024,1,Rivers,South South,0,0,Safe
IBD031968,"Domestic Violence, Abia",2025-03-14,2025-03-14,1,2024,1,Abia,South East,0,0,Safe
IBD031943,"NAF vs Bandit, Katsina",2025-03-13,2025-03-13,22,2024,1,Katsina,North West,1,10,Avoid Route
IBD031944,"Catholic Seminarian, Edo",2025-03-13,2025-03-13,1,2024,1,Edo,South South,0,0,Safe
IBD031956,"Farmer, Benue",2025-03-12,2025-03-12,1,2024,1,Benue,North Central,0,0,Safe
IBD031947,"Soldiers vs Kidnappers, Plateau",2025-03-12,2025-03-12,2,2024,1,Plateau,North Central,1,5,Caution
IBD031938,"Auto Crash, Edo",2025-03-12,2025-03-12,1,2024,1,Edo,South South,0,0,Safe
IBD031954,"Vigilantes, FCT (Abuja)",2025-03-11,2025-03-11,2,2024,1,FCT,North Central,0,0,Safe
IBD032024,"Kidnappers vs Village Head, Kaduna",2025-03-11,2025-03-11,1,2024,1,Kaduna,North West,1,5,Caution
IBD031929,"Auto Crash/Explosion, Lagos",2025-03-11,2025-03-11,3,2024,1,Lagos,South West,0,3,Safe
IBD031928,"Herders Attack, Benue",2025-03-11,2025-03-11,4,2024,1,Benue,North Central,1,8,Avoid Route
IBD031937,"Army vs Terrorist, Kaduna",2025-03-11,2025-03-11,3,2024,1,Kaduna,North West,1,8,Avoid Route
IBD031957,"Bandits vs Worshippers, Nasarawa",2025-03-10,2025-03-10,3,2024,1,Nasarawa,North Central,1,8,Avoid Route
IBD031909,"Domestic Violence, Akwa Ibom",2025-03-10,2025-03-10,1,2024,1,Akwa Ibom,South South,0,0,Safe
IBD031924,"Extrajudicial Killing, Niger",2025-03-10,2025-03-10,1,2024,1,Niger,North Central,0,0,Safe
IBD031927,"Extrajudicial Killing, Niger",2025-03-10,2025-03-10,1,2024,1,Niger,North Central,0,0,Safe
IBD031904,"Auxiliary Nurse , Delta",2025-03-10,2025-03-10,1,2024,1,Delta,South South,0,0,Safe
IBD031926,"Extrajudicial Killings, Niger",2025-03-10,2025-03-10,1,2024,1,Niger,North Central,0,0,Safe
IBD031916,"Police vs Kidnappers, Akwa Ibom",2025-03-10,2025-03-10,1,2024,1,Akwa Ibom,South South,1,5,Caution
IBD031925,"Farmers vs Herders, Nasarawa",2025-03-10,2025-03-10,11,2024,1,Nasarawa,North Central,0,5,Caution
IBD031930,"Assailant vs Man, Lagos",2025-03-10,2025-03-10,1,2024,1,Lagos,South West,0,0,Safe
IBD031961,"Police vs Kidnappers, Delta",2025-03-09,2025-03-09,4,2024,1,Delta,South South,1,8,Avoid Route
IBD031911,"Lakurawa Bandits Kills 11, Kebbi",2025-03-09,2025-03-09,13,2024,1,Kebbi,North West,1,10,Avoid Route
IBD031910,"Suspected Herders Kill 20, Ondo",2025-03-09,2025-03-09,17,2024,1,Ondo,South West,0,5,Caution
IBD031915,"Customs Operavtives vs Smugglers, Ogun",2025-03-09,2025-03-09,1,2024,1,Ogun,South West,0,0,Safe
IBD031912,"Auto Crash, Edo",2025-03-09,2025-03-09,8,2024,1,Edo,South South,0,3,Safe
IBD031917,"Auto Crash, Ogun",2025-03-09,2025-03-09,4,2024,1,Ogun,South West,0,3,Safe
IBD031923,"Auto Crash, FCT (Abuja)",2025-03-09,2025-03-09,1,2024,1,FCT,North Central,0,0,Safe
IBD031921,"Kidnappers vs Woman, Kaduna",2025-03-09,2025-03-09,1,2024,1,Kaduna,North West,1,5,Caution
IBD031934,"Murder, Niger",2025-03-08,2025-03-08,1,2024,1,Niger,North Central,0,0,Safe
IBD031935,"Drown, Niger",2025-03-08,2025-03-08,1,2024,1,Niger,North Central,0,0,Safe
IBD031919,"Palm Tree Kills Man, Ogun",2025-03-08,2025-03-08,1,2024,1,Ogun,South West,0,0,Safe
IBD031906,"Fight, Lagos",2025-03-08,2025-03-08,1,2024,1,Lagos,South West,0,0,Safe
IBD031922,"Man vs Friend, FCT (Abuja)",2025-03-08,2025-03-08,1,2024,1,FCT,North Central,0,0,Safe
IBD031905,"Cultist vs DJ, Lagos",2025-03-08,2025-03-08,1,2024,1,Lagos,South West,0,0,Safe
IBD031931,"Boko Haram vs Vigilante, Yobe",2025-03-08,2025-03-08,1,2024,1,Yobe,North East,0,0,Safe
IBD031914,"Gunmen vs APC Council Chairman, Lagos",2025-03-08,2025-03-08,1,2024,1,Lagos,South West,1,5,Caution
IBD031900,"Communal Clash, Niger",2025-03-08,2025-03-08,1,2024,1,Niger,North Central,0,0,Safe
IBD031897,"Miyetti Allah Chairman, Kwara",2025-03-08,2025-03-08,1,2024,1,Kwara,North Central,0,0,Safe
IBD031951,"Boy Beheaded, Adamawa",2025-03-07,2025-03-07,1,2024,1,Adamawa,North East,0,0,Safe
IBD031932,"Herdsmen Attack, Kogi",2025-03-07,2025-03-07,2,2024,1,Kogi,North Central,2,5,Caution
IBD031899,"Auto Crash, Abia",2025-03-07,2025-03-07,5,2024,1,Abia,South East,0,3,Safe
IBD031898,"Ritual Killing, Edo",2025-03-07,2025-03-07,1,2024,1,Edo,South South,0,0,Safe
IBD031902,"Herdsmen Attack, Benue",2025-03-07,2025-03-08,15,2024,1,Benue,North Central,2,10,Avoid Route
IBD031885,"Medical Negligence, Benue",2025-03-06,2025-03-06,5,2024,1,Benue,North Central,0,3,Safe
IBD031876,"Electrocution, Ogun",2025-03-06,2025-03-06,1,2024,1,Ogun,South West,0,0,Safe
IBD031940,"Domestic Violence, Ogun",2025-03-06,2025-03-06,1,2024,1,Ogun,South West,0,0,Safe
IBD031895,"Security Operatives vs Terrorist, Kebbi",2025-03-06,2025-03-06,1,2024,1,Kebbi,North West,1,5,Caution
IBD031882,"Building Collapse, Lagos",2025-03-05,2025-03-05,3,2024,1,Lagos,South West,0,3,Safe
IBD031891,"Security Operatives vs Bandits, Zamfara",2025-03-05,2025-03-05,12,2024,1,Zamfara,North West,1,10,Avoid Route
IBD031892,"Auto Crash/ Explosion, Niger",2025-03-05,2025-03-05,7,2024,1,Niger,North Central,0,3,Safe
IBD031998,"Drowns, FCT (Abuja)",2025-03-05,2025-03-05,1,2024,1,FCT,North Central,0,0,Safe
IBD031880,"Gunmen vs Cleric, Kaduna",2025-03-05,2025-03-05,1,2024,1,Kaduna,North West,1,5,Caution
IBD031894,"Auto Crash, Bayelsa",2025-03-05,2025-03-05,2,2024,1,Bayelsa,South South,0,0,Safe
IBD031871,"Explosion, Oyo",2025-03-04,2025-03-04,2,2024,1,Oyo,South West,0,0,Safe
IBD032053,"Auto Crash, Lagos",2025-03-04,2025-03-04,1,2024,1,Lagos,South West,0,0,Safe
IBD031869,"Police vs Herder, Edo",2025-03-04,2025-03-04,1,2024,1,Edo,South South,0,0,Safe
IBD031870,"Auto Crash, Ogun",2025-03-04,2025-03-04,17,2024,1,Ogun,South West,0,5,Caution
IBD031865,"Gunmen Attack, Abia",2025-03-04,2025-03-04,2,2024,1,Abia,South East,2,5,Caution
IBD031881,"Auto Crash, Anambra",2025-03-04,2025-03-04,10,2024,1,Anambra,South East,0,5,Caution
IBD031848,"Bridge Collapse, Akwa Ibom",2025-03-04,2025-03-04,4,2024,1,Akwa Ibom,South South,0,3,Safe
IBD031873,"Gunmen vs Immigration Officer, FCT (Abuja)",2025-03-04,2025-03-04,1,2024,1,FCT,North Central,1,5,Caution
IBD031889,"Man Dies Working on Farm, FCT (Abuja)",2025-03-04,2025-03-04,1,2024,1,FCT,North Central,0,0,Safe
IBD031884,"Police vs Kidnappers, FCT (Abuja)",2025-03-04,2025-03-04,14,2024,1,FCT,North Central,1,10,Avoid Route
IBD031879,"Auto Crash, Kogi",2025-03-03,2025-03-03,4,2024,1,Kogi,North Central,0,3,Safe
IBD031877,"Gunmen Attack, Benue",2025-03-03,2025-03-03,2,2024,1,Benue,North Central,2,5,Caution
IBD031890,"Boko Harm Kill Police Officer Children, Borno",2025-03-03,2025-03-03,2,2024,1,Borno,North East,0,0,Safe
IBD031868,Gunmen vs Site Engineer Edo,2025-03-03,2025-03-03,1,2024,1,Edo,South South,1,5,Caution
IBD031867,"Drown, FCT (Abuja)",2025-03-03,2025-03-03,1,2024,1,FCT,North Central,0,0,Safe
IBD031893,"Assailant vs Man, Ogun",2025-03-03,2025-03-03,1,2024,1,Ogun,South West,0,0,Safe
IBD031936,"Bandit Leader, FCT (Abuja)",2025-03-03,2025-03-03,1,2024,1,FCT,North Central,1,5,Caution
IBD031941,"Woman Killed, Bauchi",2025-03-02,2025-03-02,1,2024,1,Bauchi,North East,0,0,Safe
IBD031888,"Herders Kill Man, FCT (Abuja)",2025-03-02,2025-03-02,1,2024,1,FCT,North Central,0,0,Safe
IBD031858,"Gunmen Kill One, Gombe",2025-03-02,2025-03-02,1,2024,1,Gombe,North East,1,5,Caution
IBD031874,"Community leader Killed, Anambra",2025-03-02,2025-03-02,1,2024,1,Anambra,South East,0,0,Safe
IBD031866,"Teenager, Ogun",2025-03-02,2025-03-02,1,2024,1,Ogun,South West,0,0,Safe
IBD031861,"Herdsmen vs Vigilante, Delta",2025-03-02,2025-03-02,1,2024,1,Delta,South South,1,5,Caution
IBD031883,"Drug Addict Kill Phone Charger, Ogun",2025-03-01,2025-03-01,1,2024,1,Ogun,South West,0,0,Safe
IBD031853,"Domestic Violence, Bauchi",2025-03-01,2025-03-01,1,2024,1,Bauchi,North East,0,0,Safe
IBD031854,"Herdsmen vs Farmers, Benue",2025-03-01,2025-03-01,6,2024,1,Benue,North Central,1,8,Avoid Route
IBD031939,"Policeman vs Okada Riders, Plateau",2025-03-01,2025-03-01,1,2024,1,Plateau,North Central,0,0,Safe
IBD031659,"Police vs Kidnappers, Kwara",2025-03-01,2025-03-01,2,2024,1,Kwara,North Central,1,5,Caution
IBD031855,"Gunmen vs Businessman, Ondo",2025-03-01,2025-03-01,1,2024,1,Ondo,South West,1,5,Caution
IBD031913,"Female Corpses, Delta",2025-03-01,2025-03-01,2,2024,1,Delta,South South,0,0,Safe
IBD031852,"Auto Crash, Edo",2025-03-01,2025-03-01,12,2024,1,Edo,South South,0,5,Caution
IBD031857,"Gunmen vs Man, Zamafara",2025-03-01,2025-03-01,1,2024,1,Unknown,,1,5,Caution
IBD031864,"Soldiers vs Boko Haram, Borno",2025-03-01,2025-03-01,15,2024,1,Borno,North East,0,5,Caution
IBD031860,"Cult Clash, Delta",2025-02-28,2025-02-28,2,2024,1,Delta,South South,0,0,Safe
IBD032001,"Inferno, Yobe",2025-02-28,2025-02-28,1,2024,1,Yobe,North East,0,0,Safe
IBD031856,"Herdsmen Attack, Delta",2025-02-28,2025-02-28,1,2024,1,Delta,South South,2,5,Caution
IBD031808,"Auto Crash, Kwara",2025-02-28,2025-02-28,1,2024,1,Kwara,North Central,0,0,Safe
IBD031887,"Domestic Violence, Bauchi",2025-02-28,2025-02-28,1,2024,1,Bauchi,North East,0,0,Safe
IBD031862,"Banditry, Zamfara",2025-02-27,2025-02-27,2,2024,1,Zamfara,North West,1,5,Caution
IBD031839,"Auto Crash, Enugu",2025-02-27,2025-02-27,6,2024,1,Enugu,South East,0,3,Safe
IBD031846,"Herdsmen Attack, Edo",2025-02-27,2025-02-27,2,2024,1,Edo,South South,2,5,Caution
IBD031851,"Banditry, Katsina",2025-02-27,2025-02-27,17,2024,1,Katsina,North West,1,10,Avoid Route
IBD031847,"Soldier Kill Man, Akwa Ibom",2025-02-27,2025-02-27,1,2024,1,Akwa Ibom,South South,0,0,Safe
IBD031886,"Gunmen Attack, Ogun",2025-02-27,2025-02-27,1,2024,1,Ogun,South West,2,5,Caution
IBD031901,"Domestic Violence, Lagos",2025-02-26,2025-02-26,1,2024,1,Lagos,South West,0,0,Safe
IBD031850,"Bandits vs Farmers, Niger",2025-02-26,2025-02-26,10,2024,1,Niger,North Central,1,10,Avoid Route
IBD031844,"Cult Attack, Bayelsa",2025-02-26,2025-02-26,1,2024,1,Bayelsa,South South,1,5,Caution
IBD031837,"Boko Haram Attack, Borno",2025-02-26,2025-02-26,7,2024,1,Borno,North East,1,8,Avoid Route
IBD031843,"NAF Officer Kill Man, Kaduna",2025-02-26,2025-02-26,1,2024,1,Kaduna,North West,0,0,Safe
IBD031840,"Land Dispute, Delta",2025-02-26,2025-02-26,1,2024,1,Delta,South South,0,0,Safe
IBD031834,"Boko Haram Attack, Adamawa",2025-02-25,2025-02-26,40,2024,1,Adamawa,North East,1,10,Avoid Route
IBD031822,"Kidnappers Kill Hunter, Oyo",2025-02-25,2025-02-25,1,2024,1,Oyo,South West,1,5,Caution
IBD031838,"Boko Haram/ISWAP Landmine Kills 2, Borno",2025-02-25,2025-02-25,2,2024,1,Borno,North East,0,0,Safe
IBD031833,"Kidnappers vs Police Officers, Plateau",2025-02-25,2025-02-25,2,2024,1,Plateau,North Central,1,5,Caution
IBD031826,"Auto Crash, Yobe",2025-02-25,2025-02-25,10,2024,1,Yobe,North East,0,5,Caution
IBD031828,"Auto Crash, Sokoto",2025-02-25,2025-02-25,3,2024,1,Sokoto,North West,0,3,Safe
IBD031812,"Auto Crash, Ogun",2025-02-24,2025-02-24,9,2024,1,Ogun,South West,0,3,Safe
IBD031824,"Auto Crash, Lagos",2025-02-24,2025-02-24,2,2024,1,Lagos,South West,0,0,Safe
IBD031830,"Boat Mishap, Delta",2025-02-24,2025-02-24,5,2024,1,Delta,South South,0,3,Safe
IBD031823,"Domestic Violence, Bauchi",2025-02-24,2025-02-24,1,2024,1,Bauchi,North East,0,0,Safe
IBD031842,"Auto Crash, Ogun",2025-02-24,2025-02-24,1,2024,1,Ogun,South West,0,0,Safe
IBD031832,"Auto Crash, Bauchi",2025-02-24,2025-02-24,2,2024,1,Bauchi,North East,0,0,Safe
IBD031821,"Auto Crash, Lagos",2025-02-24,2025-02-24,1,2024,1,Lagos,South West,0,0,Safe
IBD031845,"Police Kill Man, Enugu",2025-02-24,2025-02-24,1,2024,1,Enugu,South East,0,0,Safe
IBD031836,"Herdsmen vs Vigilante Commander, Edo",2025-02-24,2025-02-24,1,2024,1,Edo,South South,1,5,Caution
IBD031813,"Herders vs Farmers, Edo",2025-02-24,2025-02-24,2,2024,1,Edo,South South,0,0,Safe
IBD031875,"Domestic Violence, Bauchi",2025-02-24,2025-02-24,1,2024,1,Bauchi,North East,0,0,Safe
IBD031820,"Security Operatives vs Artisan, Edo",2025-02-23,2025-02-23,1,2024,1,Edo,South South,0,0,Safe
IBD031819,"Security Operatives Kills 1, Katsina",2025-02-23,2025-02-23,1,2024,1,Katsina,North West,0,0,Safe
IBD031816,"Man vs Friend, Niger",2025-02-23,2025-02-23,1,2024,1,Niger,North Central,0,0,Safe
IBD031907,"Revenue Collector vs Truck Driver, Edo",2025-02-23,2025-02-23,1,2024,1,Edo,South South,0,0,Safe
IBD031825,"Auto Crash, Oyo",2025-02-23,2025-02-23,2,2024,1,Oyo,South West,0,0,Safe
IBD031817,"Student Drowns, Bayelsa",2025-02-23,2025-02-23,1,2024,1,Bayelsa,South South,0,0,Safe
IBD031841,"Fish Poison, Taraba",2025-02-22,2025-02-22,4,2024,1,Taraba,North East,0,3,Safe
IBD031800,"Man Drowns, Ogun",2025-02-22,2025-02-22,1,2024,1,Ogun,South West,0,0,Safe
IBD031806,"NAF Kill Bandits, Zamfara",2025-02-22,2025-02-22,23,2024,1,Zamfara,North West,1,10,Avoid Route
