Identifier,Title,Start date,End date,Number of deaths,Year,Month,State,Region,BanditScore,TravelRiskScore,RouteAlert,RainfallLevel,FloodRisk,WeatherRiskScore,CombinedRiskScore,CombinedAlert
IBD031681,"Food Poisoning, Imo",2025-04-18,2025-04-18,1,2024,1,Imo,South East,0,0,Safe,59,Moderate,3,3,Low Risk
IBD032064,"Gunmen Kill Man, Benue",2025-03-31,2025-03-31,1,2024,1,Benue,North Central,1,5,Caution,38,Low,1,7,Moderate Risk
IBD032058,"Auto Crash, Lagos",2025-03-31,2025-03-31,1,2024,1,Lagos,South West,0,0,Safe,85,High,5,5,Moderate Risk
IBD032066,"Stray Bullets, Sokoto",2025-03-31,2025-03-31,1,2024,1,Sokoto,North West,0,0,Safe,43,Low,1,1,Low Risk
IBD032062,"Lightening Kills Herder, Kaduna",2025-03-30,2025-03-30,1,2024,1,Kaduna,North West,0,0,Safe,40,Low,1,1,Low Risk
IBD032049,"Auto Crash, Katsina",2025-03-30,2025-03-30,9,2024,1,Katsina,North West,0,3,Safe,45,Low,1,4,Moderate Risk
IBD032065,"Sallah Day Celebration Clash, Plateau",2025-03-30,2025-03-30,4,2024,1,Plateau,North Central,0,3,Safe,24,Low,1,4,Moderate Risk
IBD032054,"Auto Crash, Abia",2025-03-30,2025-03-30,1,2024,1,Abia,South East,0,0,Safe,69,Moderate,3,3,Low Risk
IBD032048,"Gas Explosion, Delta",2025-03-30,2025-03-30,2,2024,1,Delta,South South,0,0,Safe,90,High,5,5,Moderate Risk
IBD032061,"Auto Crash, Ogun",2025-03-30,2025-03-30,1,2024,1,Ogun,South West,0,0,Safe,71,Moderate,3,3,Low Risk
IBD032052,"Stampede, Gombe",2025-03-30,2025-03-30,2,2024,1,Gombe,North East,0,0,Safe,14,Low,1,1,Low Risk
IBD032063,"Fishing Activities, Kogi",2025-03-30,2025-03-30,2,2024,1,Kogi,North Central,0,0,Safe,30,Low,1,1,Low Risk
IBD032057,"Herdsmen Kill Graduate, FCT (Abuja)",2025-03-29,2025-03-29,1,2024,1,FCT,North Central,1,5,Caution,16,Low,1,7,Moderate Risk
IBD032060,"Labourer Kills Employer, Ondo",2025-03-29,2025-03-29,1,2024,1,Ondo,South West,0,0,Safe,75,Moderate,3,3,Low Risk
IBD032050,"Auto Crash, Lagos",2025-03-29,2025-03-29,1,2024,1,Lagos,South West,0,0,Safe,80,High,5,5,Moderate Risk
IBD032059,"Extrajudicial Killing, Delta",2025-03-29,2025-03-29,1,2024,1,Delta,South South,0,0,Safe,97,High,5,5,Moderate Risk
IBD032046,"Security Forces vs Shiites Members, FCT (Abuja)",2025-03-28,2025-03-28,6,2024,1,FCT,North Central,0,3,Safe,26,Low,1,4,Moderate Risk
IBD032056,"Pirates vs Fashion Designer, Rivers (Offshore)",2025-03-28,2025-03-28,1,2024,1,Rivers,South South,0,0,Safe,92,High,5,5,Moderate Risk
IBD032042,"Gas Explosion, Abia",2025-03-27,2025-03-27,2,2024,1,Abia,South East,0,0,Safe,52,Moderate,3,3,Low Risk
IBD032051,"Gunmen Attack, Plateau",2025-03-27,2025-03-27,52,2024,1,Plateau,North Central,2,10,Avoid Route,37,Low,1,13,Extreme Danger
IBD032028,"Auto Crash, Kano",2025-03-26,2025-03-26,2,2024,1,Kano,North West,0,0,Safe,18,Low,1,1,Low Risk
IBD032027,"Lakurawa vs Customs Officers, Kebbi",2025-03-26,2025-03-26,2,2024,1,Kebbi,North West,0,0,Safe,41,Low,1,1,Low Risk
IBD032045,"Domestic Violence, Sokoto",2025-03-26,2025-03-26,1,2024,1,Sokoto,North West,0,0,Safe,40,Low,1,1,Low Risk
IBD032037,"Domestic Violence, Edo",2025-03-26,2025-03-26,1,2024,1,Edo,South South,0,0,Safe,67,Moderate,3,3,Low Risk
IBD032033,"Taskforce Raid, FCT (Abuja)",2025-03-26,2025-03-26,2,2024,1,FCT,North Central,0,0,Safe,13,Low,1,1,Low Risk
IBD032032,"Chieftaincy Tussle, Ondo",2025-03-26,2025-03-26,1,2024,1,Ondo,South West,0,0,Safe,56,Moderate,3,3,Low Risk
IBD032039,"Domestic Violence, Lagos",2025-03-26,2025-03-26,1,2024,1,Lagos,South West,0,0,Safe,88,High,5,5,Moderate Risk
IBD032044,"Domestic Violence, Ekiti",2025-03-25,2025-03-25,2,2024,1,Ekiti,South West,0,0,Safe,34,Low,1,1,Low Risk
IBD032030,"Rainstorm, Cross River",2025-03-25,2025-03-25,3,2024,1,Cross River,South South,0,3,Safe,100,High,5,8,High Risk
IBD032025,"Auto Crash, Abia",2025-03-25,2025-03-25,2,2024,1,Abia,South East,0,0,Safe,66,Moderate,3,3,Low Risk
IBD032034,"Gunmen vs Land Agent, Delta",2025-03-25,2025-03-25,1,2024,1,Delta,South South,1,5,Caution,80,High,5,11,High Risk
IBD032041,"Pipeline Vandal, Rivers",2025-03-25,2025-03-25,1,2024,1,Rivers,South South,0,0,Safe,83,High,5,5,Moderate Risk
IBD032020,"Troops vs Armed Robber, Plateau",2025-03-24,2025-03-24,1,2024,1,Plateau,North Central,0,0,Safe,10,Low,1,1,Low Risk
IBD032019,"Troops Kill Bandit, Plateau",2025-03-24,2025-03-24,1,2024,1,Plateau,North Central,1,5,Caution,46,Low,1,7,Moderate Risk
IBD032014,"Kidnapper, Anambra",2025-03-24,2025-03-24,1,2024,1,Anambra,South East,1,5,Caution,75,Moderate,3,9,High Risk
IBD032026,"Ritual Killing, Rivers",2025-03-24,2025-03-24,2,2024,1,Rivers,South South,0,0,Safe,85,High,5,5,Moderate Risk
IBD032017,"Army vs Boko Haram, Borno",2025-03-24,2025-03-24,8,2024,1,Borno,North East,0,3,Safe,11,Low,1,4,Moderate Risk
IBD032009,"Jailbreak, Kogi",2025-03-24,2025-03-24,1,2024,1,Kogi,North Central,0,0,Safe,25,Low,1,1,Low Risk
IBD032055,"Auto Crash, Lagos",2025-03-24,2025-03-24,1,2024,1,Lagos,South West,0,0,Safe,97,High,5,5,Moderate Risk
IBD032012,"Gunmen vs Police, Enugu",2025-03-24,2025-03-24,1,2024,1,Enugu,South East,1,5,Caution,66,Moderate,3,9,High Risk
IBD032016,"Army vs Boko Haram, Borno",2025-03-24,2025-03-24,3,2024,1,Borno,North East,0,3,Safe,21,Low,1,4,Moderate Risk
IBD031984,"Extrajudicial Killing, Cross River",2025-03-23,2025-03-23,2,2024,1,Cross River,South South,0,0,Safe,89,High,5,5,Moderate Risk
IBD032006,"Assailants vs Motorcycle Rider, Bauchi",2025-03-23,2025-03-23,1,2024,1,Bauchi,North East,0,0,Safe,12,Low,1,1,Low Risk
IBD032018,"Hunter Killed, Ogun",2025-03-23,2025-03-23,1,2024,1,Ogun,South West,0,0,Safe,69,Moderate,3,3,Low Risk
IBD032007,"Gunmen Attack, Plateau",2025-03-23,2025-03-23,3,2024,1,Plateau,North Central,2,8,Avoid Route,20,Low,1,11,High Risk
IBD032008,"Auto Crash, Osun",2025-03-23,2025-03-23,8,2024,1,Osun,South West,0,3,Safe,41,Low,1,4,Moderate Risk
IBD032010,"Bandits Kill 2, Kogi",2025-03-23,2025-03-23,2,2024,1,Kogi,North Central,1,5,Caution,25,Low,1,7,Moderate Risk
IBD031983,"Bandits Attack, Sokoto",2025-03-22,2025-03-22,1,2024,1,Sokoto,North West,2,5,Caution,18,Low,1,8,High Risk
IBD031989,"Bandits vs Security Operatives, Zamfara",2025-03-22,2025-03-22,10,2024,1,Zamfara,North West,1,10,Avoid Route,16,Low,1,12,Extreme Danger
IBD031985,"Kidnappers Kill 1, Benue",2025-03-22,2025-03-22,1,2024,1,Benue,North Central,1,5,Caution,31,Low,1,7,Moderate Risk
IBD032035,"Kidnap Victims, Kaduna",2025-03-22,2025-03-22,3,2024,1,Kaduna,North West,1,8,Avoid Route,19,Low,1,10,High Risk
IBD031987,"Herdsmen Attack, Edo",2025-03-22,2025-03-22,1,2024,1,Edo,South South,2,5,Caution,53,Moderate,3,10,High Risk
IBD031995,"Herders Kill Farmer, FCT (Abuja)",2025-03-22,2025-03-22,1,2024,1,FCT,North Central,0,0,Safe,44,Low,1,1,Low Risk
IBD031990,"Assailants vs Security Man, Bauchi",2025-03-22,2025-03-22,1,2024,1,Bauchi,North East,0,0,Safe,11,Low,1,1,Low Risk
IBD032011,"POS Operator, Adamawa",2025-03-22,2025-03-22,1,2024,1,Adamawa,North East,0,0,Safe,48,Low,1,1,Low Risk
IBD032021,"Generator Fume Kill 2, Rivers",2025-03-22,2025-03-22,2,2024,1,Rivers,South South,0,0,Safe,83,High,5,5,Moderate Risk
IBD031992,"Communal Clash, Osun",2025-03-21,2025-03-21,2,2024,1,Osun,South West,0,0,Safe,22,Low,1,1,Low Risk
IBD031996,"Hoodlums vs Worshippers, Kaduna",2025-03-21,2025-03-21,1,2024,1,Kaduna,North West,0,0,Safe,18,Low,1,1,Low Risk
IBD032040,"Man Dies in Hotel, Delta",2025-03-21,2025-03-21,1,2024,1,Delta,South South,0,0,Safe,87,High,5,5,Moderate Risk
IBD032038,"Domestic Violence, Edo",2025-03-21,2025-03-21,1,2024,1,Edo,South South,0,0,Safe,70,Moderate,3,3,Low Risk
IBD032031,Police vs Kidnappers. Delta,2025-03-21,2025-03-21,5,2024,1,Delta,South South,1,8,Avoid Route,92,High,5,14,Extreme Danger
IBD031986,"Gunmen Attack, Anambra",2025-03-20,2025-03-20,3,2024,1,Anambra,South East,2,8,Avoid Route,72,Moderate,3,13,Extreme Danger
IBD032004,"Security Force vs Lakurawa, Kebbi",2025-03-20,2025-03-20,2,2024,1,Kebbi,North West,0,0,Safe,36,Low,1,1,Low Risk
IBD032047,"Northern Hunters, Edo",2025-03-20,2025-03-20,16,2024,1,Edo,South South,0,5,Caution,60,Moderate,3,8,High Risk
IBD031981,"Miyetti Allah Chairman, Plateau",2025-03-20,2025-03-20,1,2024,1,Plateau,North Central,0,0,Safe,45,Low,1,1,Low Risk
IBD032013,"Kidnap Victim, Bauchi",2025-03-20,2025-03-20,1,2024,1,Bauchi,North East,1,5,Caution,12,Low,1,7,Moderate Risk
IBD031980,"Herdsmen Attack, Benue",2025-03-19,2025-03-19,5,2024,1,Benue,North Central,2,8,Avoid Route,26,Low,1,11,High Risk
IBD031982,"Rape Victim, Delta",2025-03-19,2025-03-19,1,2024,1,Delta,South South,0,0,Safe,93,High,5,5,Moderate Risk
IBD032002,"Inferno, Yobe",2025-03-19,2025-03-19,1,2024,1,Yobe,North East,0,0,Safe,48,Low,1,1,Low Risk
IBD031994,"Banditary, Katsina",2025-03-19,2025-03-19,10,2024,1,Katsina,North West,1,10,Avoid Route,31,Low,1,12,Extreme Danger
IBD031971,"Domestic Violence, Lagos",2025-03-19,2025-03-19,1,2024,1,Lagos,South West,0,0,Safe,94,High,5,5,Moderate Risk
IBD031979,"Assailants vs Security Guard, Ebonyi",2025-03-19,2025-03-19,1,2024,1,Ebonyi,South East,0,0,Safe,28,Low,1,1,Low Risk
IBD031972,"Explosion/Auto Crash, FCT (Abuja)",2025-03-19,2025-03-19,10,2024,1,FCT,North Central,0,5,Caution,49,Low,1,6,Moderate Risk
IBD031975,"Herders vs Farmers, Ondo",2025-03-19,2025-03-19,10,2024,1,Ondo,South West,0,5,Caution,53,Moderate,3,8,High Risk
IBD031970,"Auto Crash, Rivers",2025-03-18,2025-03-18,1,2024,1,Rivers,South South,0,0,Safe,100,High,5,5,Moderate Risk
IBD031993,"NAF vs Boko Haram, Borno",2025-03-18,2025-03-18,25,2024,1,Borno,North East,0,5,Caution,49,Low,1,6,Moderate Risk
IBD031978,"Rainstorm Kill 1, Ogun",2025-03-18,2025-03-18,1,2024,1,Ogun,South West,0,0,Safe,76,Moderate,3,3,Low Risk
IBD031974,"Army vs Terrorist, Zamfara",2025-03-18,2025-03-18,7,2024,1,Zamfara,North West,1,8,Avoid Route,43,Low,1,10,High Risk
IBD031977,Police vs Gunmen Benue,2025-03-18,2025-03-19,12,2024,1,Benue,North Central,1,10,Avoid Route,28,Low,1,12,Extreme Danger
IBD031969,"Communal Clash, Ebonyi",2025-03-17,2025-03-17,2,2024,1,Ebonyi,South East,0,0,Safe,19,Low,1,1,Low Risk
IBD031973,"Army vs Terrorist, Katsina",2025-03-17,2025-03-17,3,2024,1,Katsina,North West,1,8,Avoid Route,30,Low,1,10,High Risk
IBD031991,"NAF vs Boko Haram, Borno",2025-03-17,2025-03-17,10,2024,1,Borno,North East,0,5,Caution,14,Low,1,6,Moderate Risk
IBD031988,"Lawyer vs Student, Imo",2025-03-17,2025-03-17,1,2024,1,Imo,South East,0,0,Safe,74,Moderate,3,3,Low Risk
IBD032003,"Electrocution, Lagos",2025-03-17,2025-03-17,1,2024,1,Lagos,South West,0,0,Safe,94,High,5,5,Moderate Risk
IBD031976,"Herdsmen Attack, Benue",2025-03-17,2025-03-17,2,2024,1,Benue,North Central,2,5,Caution,18,Low,1,8,High Risk
IBD032036,"NAF vs Terrorists, Borno",2025-03-16,2025-03-16,40,2024,1,Borno,North East,1,10,Avoid Route,44,Low,1,12,Extreme Danger
IBD032005,"Explosion, Rivers",2025-03-16,2025-03-16,1,2024,1,Rivers,South South,0,0,Safe,87,High,5,5,Moderate Risk
IBD031955,"Auto Crash, Imo",2025-03-16,2025-03-16,7,2024,1,Imo,South East,0,3,Safe,60,Moderate,3,6,Moderate Risk
IBD031997,"Boy Suffocates, Lagos",2025-03-16,2025-03-16,1,2024,1,Lagos,South West,0,0,Safe,80,High,5,5,Moderate Risk
IBD032015,"Domestic Violence, Edo",2025-03-16,2025-03-16,2,2024,1,Edo,South South,0,0,Safe,52,Moderate,3,3,Low Risk
IBD031952,"Armed Robbers vs Watchman, Katsina",2025-03-16,2025-03-16,1,2024,1,Katsina,North West,0,0,Safe,49,Low,1,1,Low Risk
IBD032023,"Auto Crash, Kaduna",2025-03-16,2025-03-16,2,2024,1,Kaduna,North West,0,0,Safe,11,Low,1,1,Low Risk
IBD031959,"Gunmen vs Fulani Leader, Kwara",2025-03-16,2025-03-16,1,2024,1,Kwara,North Central,1,5,Caution,12,Low,1,7,Moderate Risk
IBD015011,"Mob Attack, Lagos",2025-03-15,2025-03-15,1,2024,1,Lagos,South West,1,5,Caution,85,High,5,11,High Risk
IBD031949,"Auto Crash, Anambra",2025-03-15,2025-03-15,6,2024,1,Anambra,South East,0,3,Safe,50,Moderate,3,6,Moderate Risk
IBD031958,"Assailants vs Bride, Jigawa",2025-03-15,2025-03-15,1,2024,1,Jigawa,North West,0,0,Safe,41,Low,1,1,Low Risk
IBD031950,"Army vs Bandits, Katsina",2025-03-15,2025-03-15,12,2024,1,Katsina,North West,1,10,Avoid Route,35,Low,1,12,Extreme Danger
IBD031953,"Army vs Bandits, Katsina",2025-03-15,2025-03-15,12,2024,1,Katsina,North West,1,10,Avoid Route,10,Low,1,12,Extreme Danger
IBD032022,"Mob vs Armed Robber, Lagos",2025-03-15,2025-03-15,1,2024,1,Lagos,South West,0,0,Safe,93,High,5,5,Moderate Risk
IBD031942,"Communal Clash, Cross River",2025-03-15,2025-03-15,2,2024,1,Cross River,South South,0,0,Safe,94,High,5,5,Moderate Risk
IBD031965,"Cult Clash, Ogun",2025-03-15,2025-03-15,4,2024,1,Ogun,South West,0,3,Safe,69,Moderate,3,6,Moderate Risk
IBD031945,"Police vs Kidnappers, Abia",2025-03-14,2025-03-14,6,2024,1,Abia,South East,1,8,Avoid Route,77,Moderate,3,12,Extreme Danger
IBD031967,"Gunmen vs Herders, Enugu",2025-03-14,2025-03-14,5,2024,1,Enugu,South East,1,8,Avoid Route,70,Moderate,3,12,Extreme Danger
IBD031946,"Police vs Kidnapper, Nasarawa",2025-03-14,2025-03-14,1,2024,1,Nasarawa,North Central,1,5,Caution,36,Low,1,7,Moderate Risk
IBD031948,"Drowns, Rivers",2025-03-14,2025-03-14,1,2024,1,Rivers,South South,0,0,Safe,98,High,5,5,Moderate Risk
IBD031968,"Domestic Violence, Abia",2025-03-14,2025-03-14,1,2024,1,Abia,South East,0,0,Safe,51,Moderate,3,3,Low Risk
IBD031943,"NAF vs Bandit, Katsina",2025-03-13,2025-03-13,22,2024,1,Katsina,North West,1,10,Avoid Route,13,Low,1,12,Extreme Danger
IBD031944,"Catholic Seminarian, Edo",2025-03-13,2025-03-13,1,2024,1,Edo,South South,0,0,Safe,76,Moderate,3,3,Low Risk
IBD031956,"Farmer, Benue",2025-03-12,2025-03-12,1,2024,1,Benue,North Central,0,0,Safe,40,Low,1,1,Low Risk
IBD031947,"Soldiers vs Kidnappers, Plateau",2025-03-12,2025-03-12,2,2024,1,Plateau,North Central,1,5,Caution,22,Low,1,7,Moderate Risk
IBD031938,"Auto Crash, Edo",2025-03-12,2025-03-12,1,2024,1,Edo,South South,0,0,Safe,51,Moderate,3,3,Low Risk
IBD031954,"Vigilantes, FCT (Abuja)",2025-03-11,2025-03-11,2,2024,1,FCT,North Central,0,0,Safe,43,Low,1,1,Low Risk
IBD032024,"Kidnappers vs Village Head, Kaduna",2025-03-11,2025-03-11,1,2024,1,Kaduna,North West,1,5,Caution,28,Low,1,7,Moderate Risk
IBD031929,"Auto Crash/Explosion, Lagos",2025-03-11,2025-03-11,3,2024,1,Lagos,South West,0,3,Safe,86,High,5,8,High Risk
IBD031928,"Herders Attack, Benue",2025-03-11,2025-03-11,4,2024,1,Benue,North Central,1,8,Avoid Route,12,Low,1,10,High Risk
IBD031937,"Army vs Terrorist, Kaduna",2025-03-11,2025-03-11,3,2024,1,Kaduna,North West,1,8,Avoid Route,11,Low,1,10,High Risk
IBD031957,"Bandits vs Worshippers, Nasarawa",2025-03-10,2025-03-10,3,2024,1,Nasarawa,North Central,1,8,Avoid Route,17,Low,1,10,High Risk
IBD031909,"Domestic Violence, Akwa Ibom",2025-03-10,2025-03-10,1,2024,1,Akwa Ibom,South South,0,0,Safe,96,High,5,5,Moderate Risk
IBD031924,"Extrajudicial Killing, Niger",2025-03-10,2025-03-10,1,2024,1,Niger,North Central,0,0,Safe,44,Low,1,1,Low Risk
IBD031927,"Extrajudicial Killing, Niger",2025-03-10,2025-03-10,1,2024,1,Niger,North Central,0,0,Safe,28,Low,1,1,Low Risk
IBD031904,"Auxiliary Nurse , Delta",2025-03-10,2025-03-10,1,2024,1,Delta,South South,0,0,Safe,81,High,5,5,Moderate Risk
IBD031926,"Extrajudicial Killings, Niger",2025-03-10,2025-03-10,1,2024,1,Niger,North Central,0,0,Safe,22,Low,1,1,Low Risk
IBD031916,"Police vs Kidnappers, Akwa Ibom",2025-03-10,2025-03-10,1,2024,1,Akwa Ibom,South South,1,5,Caution,89,High,5,11,High Risk
IBD031925,"Farmers vs Herders, Nasarawa",2025-03-10,2025-03-10,11,2024,1,Nasarawa,North Central,0,5,Caution,12,Low,1,6,Moderate Risk
IBD031930,"Assailant vs Man, Lagos",2025-03-10,2025-03-10,1,2024,1,Lagos,South West,0,0,Safe,96,High,5,5,Moderate Risk
IBD031961,"Police vs Kidnappers, Delta",2025-03-09,2025-03-09,4,2024,1,Delta,South South,1,8,Avoid Route,80,High,5,14,Extreme Danger
IBD031911,"Lakurawa Bandits Kills 11, Kebbi",2025-03-09,2025-03-09,13,2024,1,Kebbi,North West,1,10,Avoid Route,28,Low,1,12,Extreme Danger
IBD031910,"Suspected Herders Kill 20, Ondo",2025-03-09,2025-03-09,17,2024,1,Ondo,South West,0,5,Caution,57,Moderate,3,8,High Risk
IBD031915,"Customs Operavtives vs Smugglers, Ogun",2025-03-09,2025-03-09,1,2024,1,Ogun,South West,0,0,Safe,60,Moderate,3,3,Low Risk
IBD031912,"Auto Crash, Edo",2025-03-09,2025-03-09,8,2024,1,Edo,South South,0,3,Safe,68,Moderate,3,6,Moderate Risk
IBD031917,"Auto Crash, Ogun",2025-03-09,2025-03-09,4,2024,1,Ogun,South West,0,3,Safe,56,Moderate,3,6,Moderate Risk
IBD031923,"Auto Crash, FCT (Abuja)",2025-03-09,2025-03-09,1,2024,1,FCT,North Central,0,0,Safe,34,Low,1,1,Low Risk
IBD031921,"Kidnappers vs Woman, Kaduna",2025-03-09,2025-03-09,1,2024,1,Kaduna,North West,1,5,Caution,27,Low,1,7,Moderate Risk
IBD031934,"Murder, Niger",2025-03-08,2025-03-08,1,2024,1,Niger,North Central,0,0,Safe,38,Low,1,1,Low Risk
IBD031935,"Drown, Niger",2025-03-08,2025-03-08,1,2024,1,Niger,North Central,0,0,Safe,46,Low,1,1,Low Risk
IBD031919,"Palm Tree Kills Man, Ogun",2025-03-08,2025-03-08,1,2024,1,Ogun,South West,0,0,Safe,75,Moderate,3,3,Low Risk
IBD031906,"Fight, Lagos",2025-03-08,2025-03-08,1,2024,1,Lagos,South West,0,0,Safe,83,High,5,5,Moderate Risk
IBD031922,"Man vs Friend, FCT (Abuja)",2025-03-08,2025-03-08,1,2024,1,FCT,North Central,0,0,Safe,17,Low,1,1,Low Risk
IBD031905,"Cultist vs DJ, Lagos",2025-03-08,2025-03-08,1,2024,1,Lagos,South West,0,0,Safe,83,High,5,5,Moderate Risk
IBD031931,"Boko Haram vs Vigilante, Yobe",2025-03-08,2025-03-08,1,2024,1,Yobe,North East,0,0,Safe,26,Low,1,1,Low Risk
IBD031914,"Gunmen vs APC Council Chairman, Lagos",2025-03-08,2025-03-08,1,2024,1,Lagos,South West,1,5,Caution,82,High,5,11,High Risk
IBD031900,"Communal Clash, Niger",2025-03-08,2025-03-08,1,2024,1,Niger,North Central,0,0,Safe,33,Low,1,1,Low Risk
IBD031897,"Miyetti Allah Chairman, Kwara",2025-03-08,2025-03-08,1,2024,1,Kwara,North Central,0,0,Safe,43,Low,1,1,Low Risk
IBD031951,"Boy Beheaded, Adamawa",2025-03-07,2025-03-07,1,2024,1,Adamawa,North East,0,0,Safe,15,Low,1,1,Low Risk
IBD031932,"Herdsmen Attack, Kogi",2025-03-07,2025-03-07,2,2024,1,Kogi,North Central,2,5,Caution,24,Low,1,8,High Risk
IBD031899,"Auto Crash, Abia",2025-03-07,2025-03-07,5,2024,1,Abia,South East,0,3,Safe,50,Moderate,3,6,Moderate Risk
IBD031898,"Ritual Killing, Edo",2025-03-07,2025-03-07,1,2024,1,Edo,South South,0,0,Safe,65,Moderate,3,3,Low Risk
IBD031902,"Herdsmen Attack, Benue",2025-03-07,2025-03-08,15,2024,1,Benue,North Central,2,10,Avoid Route,33,Low,1,13,Extreme Danger
IBD031885,"Medical Negligence, Benue",2025-03-06,2025-03-06,5,2024,1,Benue,North Central,0,3,Safe,32,Low,1,4,Moderate Risk
IBD031876,"Electrocution, Ogun",2025-03-06,2025-03-06,1,2024,1,Ogun,South West,0,0,Safe,50,Moderate,3,3,Low Risk
IBD031940,"Domestic Violence, Ogun",2025-03-06,2025-03-06,1,2024,1,Ogun,South West,0,0,Safe,63,Moderate,3,3,Low Risk
IBD031895,"Security Operatives vs Terrorist, Kebbi",2025-03-06,2025-03-06,1,2024,1,Kebbi,North West,1,5,Caution,11,Low,1,7,Moderate Risk
IBD031882,"Building Collapse, Lagos",2025-03-05,2025-03-05,3,2024,1,Lagos,South West,0,3,Safe,89,High,5,8,High Risk
IBD031891,"Security Operatives vs Bandits, Zamfara",2025-03-05,2025-03-05,12,2024,1,Zamfara,North West,1,10,Avoid Route,26,Low,1,12,Extreme Danger
IBD031892,"Auto Crash/ Explosion, Niger",2025-03-05,2025-03-05,7,2024,1,Niger,North Central,0,3,Safe,43,Low,1,4,Moderate Risk
IBD031998,"Drowns, FCT (Abuja)",2025-03-05,2025-03-05,1,2024,1,FCT,North Central,0,0,Safe,47,Low,1,1,Low Risk
IBD031880,"Gunmen vs Cleric, Kaduna",2025-03-05,2025-03-05,1,2024,1,Kaduna,North West,1,5,Caution,43,Low,1,7,Moderate Risk
IBD031894,"Auto Crash, Bayelsa",2025-03-05,2025-03-05,2,2024,1,Bayelsa,South South,0,0,Safe,88,High,5,5,Moderate Risk
IBD031871,"Explosion, Oyo",2025-03-04,2025-03-04,2,2024,1,Oyo,South West,0,0,Safe,46,Low,1,1,Low Risk
IBD032053,"Auto Crash, Lagos",2025-03-04,2025-03-04,1,2024,1,Lagos,South West,0,0,Safe,84,High,5,5,Moderate Risk
IBD031869,"Police vs Herder, Edo",2025-03-04,2025-03-04,1,2024,1,Edo,South South,0,0,Safe,70,Moderate,3,3,Low Risk
IBD031870,"Auto Crash, Ogun",2025-03-04,2025-03-04,17,2024,1,Ogun,South West,0,5,Caution,63,Moderate,3,8,High Risk
IBD031865,"Gunmen Attack, Abia",2025-03-04,2025-03-04,2,2024,1,Abia,South East,2,5,Caution,71,Moderate,3,10,High Risk
IBD031881,"Auto Crash, Anambra",2025-03-04,2025-03-04,10,2024,1,Anambra,South East,0,5,Caution,65,Moderate,3,8,High Risk
IBD031848,"Bridge Collapse, Akwa Ibom",2025-03-04,2025-03-04,4,2024,1,Akwa Ibom,South South,0,3,Safe,86,High,5,8,High Risk
IBD031873,"Gunmen vs Immigration Officer, FCT (Abuja)",2025-03-04,2025-03-04,1,2024,1,FCT,North Central,1,5,Caution,42,Low,1,7,Moderate Risk
IBD031889,"Man Dies Working on Farm, FCT (Abuja)",2025-03-04,2025-03-04,1,2024,1,FCT,North Central,0,0,Safe,33,Low,1,1,Low Risk
IBD031884,"Police vs Kidnappers, FCT (Abuja)",2025-03-04,2025-03-04,14,2024,1,FCT,North Central,1,10,Avoid Route,43,Low,1,12,Extreme Danger
IBD031879,"Auto Crash, Kogi",2025-03-03,2025-03-03,4,2024,1,Kogi,North Central,0,3,Safe,11,Low,1,4,Moderate Risk
IBD031877,"Gunmen Attack, Benue",2025-03-03,2025-03-03,2,2024,1,Benue,North Central,2,5,Caution,38,Low,1,8,High Risk
IBD031890,"Boko Harm Kill Police Officer Children, Borno",2025-03-03,2025-03-03,2,2024,1,Borno,North East,0,0,Safe,48,Low,1,1,Low Risk
IBD031868,Gunmen vs Site Engineer Edo,2025-03-03,2025-03-03,1,2024,1,Edo,South South,1,5,Caution,73,Moderate,3,9,High Risk
IBD031867,"Drown, FCT (Abuja)",2025-03-03,2025-03-03,1,2024,1,FCT,North Central,0,0,Safe,28,Low,1,1,Low Risk
IBD031893,"Assailant vs Man, Ogun",2025-03-03,2025-03-03,1,2024,1,Ogun,South West,0,0,Safe,73,Moderate,3,3,Low Risk
IBD031936,"Bandit Leader, FCT (Abuja)",2025-03-03,2025-03-03,1,2024,1,FCT,North Central,1,5,Caution,28,Low,1,7,Moderate Risk
IBD031941,"Woman Killed, Bauchi",2025-03-02,2025-03-02,1,2024,1,Bauchi,North East,0,0,Safe,27,Low,1,1,Low Risk
IBD031888,"Herders Kill Man, FCT (Abuja)",2025-03-02,2025-03-02,1,2024,1,FCT,North Central,0,0,Safe,19,Low,1,1,Low Risk
IBD031858,"Gunmen Kill One, Gombe",2025-03-02,2025-03-02,1,2024,1,Gombe,North East,1,5,Caution,43,Low,1,7,Moderate Risk
IBD031874,"Community leader Killed, Anambra",2025-03-02,2025-03-02,1,2024,1,Anambra,South East,0,0,Safe,58,Moderate,3,3,Low Risk
IBD031866,"Teenager, Ogun",2025-03-02,2025-03-02,1,2024,1,Ogun,South West,0,0,Safe,67,Moderate,3,3,Low Risk
IBD031861,"Herdsmen vs Vigilante, Delta",2025-03-02,2025-03-02,1,2024,1,Delta,South South,1,5,Caution,88,High,5,11,High Risk
IBD031883,"Drug Addict Kill Phone Charger, Ogun",2025-03-01,2025-03-01,1,2024,1,Ogun,South West,0,0,Safe,56,Moderate,3,3,Low Risk
IBD031853,"Domestic Violence, Bauchi",2025-03-01,2025-03-01,1,2024,1,Bauchi,North East,0,0,Safe,24,Low,1,1,Low Risk
IBD031854,"Herdsmen vs Farmers, Benue",2025-03-01,2025-03-01,6,2024,1,Benue,North Central,1,8,Avoid Route,35,Low,1,10,High Risk
